iter	Passed	Remaining
859	27269	4439
860	27295	4406
861	27321	4373
862	27347	4341
863	27374	4309
864	27401	4276
865	27428	4244
866	27454	4211
867	27479	4178
868	27505	4146
869	27533	4114
870	27564	4082
871	27591	4050
872	27618	4017
873	27645	3985
874	27671	3953
875	27697	3920
876	27723	3888
877	27748	3855
878	27774	3823
879	27800	3791
880	27826	3758
881	27853	3726
882	27892	3695
883	27921	3663
884	27947	3631
885	27972	3599
886	27998	3566
887	28024	3534
888	28066	3504
889	28108	3474
890	28157	3444
891	28192	3413
892	28229	3382
893	28266	3351
894	28297	3319
895	28339	3289
896	28379	3258
897	28412	3227
898	28463	3197
899	28511	3167
900	28559	3138
901	28616	3109
902	28662	3078
903	28712	3049
904	28771	3020
905	28822	2990
906	28870	2960
907	28929	2931
908	28985	2901
909	29035	2871
910	29084	2841
911	29139	2811
912	29193	2781
913	29239	2751
914	29291	2721
915	29340	2690
916	29379	2659
917	29413	2627
918	29445	2595
919	29485	2563
920	29540	2533
921	29591	2503
922	29648	2473
923	29711	2443
924	29760	2413
925	29813	2382
926	29866	2351
927	29912	2320
928	29971	2290
929	30029	2260
930	30080	2229
931	30129	2198
932	30168	2166
933	30202	2134
934	30241	2102
935	30289	2071
936	30339	2039
937	30380	2008
938	30419	1976
939	30466	1944
940	30510	1912
941	30555	1881
942	30596	1849
943	30629	1816
944	30679	1785
945	30729	1754
946	30784	1722
947	30837	1691
948	30884	1659
949	30934	1628
950	30984	1596
951	31043	1565
952	31097	1533
953	31147	1501
954	31198	1470
955	31252	1438
956	31314	1407
957	31365	1375
958	31405	1342
959	31460	1310
960	31511	1278
961	31567	1246
962	31622	1214
963	31672	1182
964	31721	1150
965	31772	1118
966	31832	1086
967	31879	1053
968	31930	1021
969	31978	989
970	32026	956
971	32074	923
972	32133	891
973	32179	859
974	32231	826
975	32285	793
976	32320	760
977	32354	727
978	32387	694
979	32423	661
980	32459	628
981	32508	595
982	32554	562
983	32598	530
984	32640	497
985	32691	464
986	32734	431
987	32774	398
988	32820	365
989	32867	331
990	32911	298
991	32968	265
992	33016	232
993	33064	199
994	33109	166
995	33153	133
996	33204	99
997	33240	66
998	33280	33
999	33305	0
